topic_num,messages_ch,messages_en,top_words_ch,top_words_en
0,"巧克力 可以 缓解 压力
压力 测试 图
【 健康 】 黑 巧克力 黑 巧克力 是 一种 美味 救星 ！ 吃 一小块 可可 含量 为 70% 的 黑 巧克力 ， 有助于 缓解 压力 、 减轻 炎症 、 增强 记忆力 、 保护 免疫系统 及 改善 情绪 。 此外 ， 黑 巧克力 中 含有 丰富 的 抗氧化剂 ， 能够 有效 抵御 自由基 对 人体 的 损害 。
食用 黑 巧克力 有助 预防 心血管 疾病 / / 【 食用 黑 巧克力 有助 预防 心血管 疾病 】 黑 巧克力 因较 少 的 糖类 与 脂肪 摄入 及 诸多 健康 益处 正 受到 更 多 人士 的 追捧 。 瑞士 一项 最新 研究 报告 指出 ， 食用 黑 巧克力 有助于 缓解 压力 ， 预防 心血管 疾病 发生 ， 但 黑 巧克力 预防 心血管 疾病 的 机制 还 需 进一步 研究 。 该 研究 发表 于 《 美国 心脏病 学会 杂志 》 。
首发 ： 世园 会 压力 测试通过 打造 人性 世园 之旅 - 青岛 新闻网 {LK}","chocolate can relieve stress
stress test chart
[health] dark chocolate dark chocolate is a delicious savior! eating a small piece of dark chocolate with 70% cocoa content can help relieve stress, reduce inflammation, enhance memory, protect the immune system and improve mood. in addition, dark chocolate is rich in antioxidants, which can effectively resist the damage of free radicals to the human body.
eating dark chocolate can help prevent cardiovascular disease. // [eating dark chocolate can help prevent cardiovascular disease] dark chocolate is being sought after by more people due to its lower intake of sugars and fats and many health benefits. a recent swiss research report pointed out that the consumption of dark chocolate can help relieve stress and prevent cardiovascular diseases, but the mechanism of dark chocolate to prevent cardiovascular diseases needs further research. the research was published in the journal of the american college of cardiology.
first release: stress test at the expo to create a humanity journey to the expo-qingdao news net {lk}","测试, 能力, 进行, 管理, 要求, 方面, 完成, 团队, 培训, 沟通, 项目, 加强, 做好, 执行, 提升","test, ability, get on, management, claim, aspect, carry out, team, training, communication, project, strengthen, do well, carried out, promote"
1,"菜粕 下午 关注 2380 的 压力 ， 考虑 在 78 附近 放空 ， 短线 过 了 82 设 止损 ， 波段 过 了 2400 设 止损 。 考虑 继续 放空 菜粕 。
豆粕 继续 上冲 3600 压力 ， 豆粕 仍为 多头 思路 。 但 操作 豆粕 谨慎 ， 做 多 可以 在 豆油 和 棕油 上 寻找机会 。
铁矿石 继续 以 回落 做 多 为主 ， 此次 以 925 之 下设 止损 加 多 ， 短线 关注 950 的 压力 ， 回落 继续 加 多 铁矿石 。
股指 1310 冲击 到 前期 高点 附近 受到 压力 展开 下行 ， 下午 以 找点 放空 为主 ， 短线 70 附近 考虑 逢 高 放空 操作 ， 回落 到 55 - 60 之间 再 考虑 加 多 操作 。 下午 继续 用 2450 之 下设 止损 找点 逢 低加 多 操作 。
菜粕 空头 思路 不变 ， 反弹 关注 2400 第一 压力 ， 以 2400 作为 压力 ， 以 2400 之上 设 止损 ， 反弹 放空 。 往 下 关注 2368 附近 的 第一 目标 位 。","rapeseed meal pays attention to the pressure of 2380 in the afternoon, and considers shorting around 78. short-term stop loss is set after 82, and stop loss is set after 2400. consider continuing to empty the rapeseed meal.
soybean meal continues to rise under the pressure of 3,600, and soybean meal is still a bullish mindset. but be cautious in handling soybean meal, and you can look for opportunities in soybean oil and palm oil if you are long.
iron ore will continue to fall and do more. this time we set a stop loss below 925 to increase, and focus on the pressure of 950 in the short term.
the stock index 1310 hit near the previous high and was under pressure to start down. in the afternoon, it was mainly to find short positions. short-term short-term operations were considered near 70, and when it fell back to 55-60, it would consider adding more operations. in the afternoon, continue to use the stop loss below 2450 to find a bargaining point and add more operations.
rapeseed meal bears the same idea, the rebound is focused on the first pressure of 2400, the pressure is 2400, the stop loss is set above 2400, and the rebound is short. follow down on the first target position near 2368.","位, 操作, 止损, 关注, 短线, 低, 支撑位, 回落, 附近, 突破, 逢, 之下, 注意, 为主, 之上","rank, operating, stop loss, attention, short-term, low, support, fall back, nearby, breakthrough, every, under, note, mainly, above"
2,"压抑 自己 没 必要 ， 奉承 巴结 也 没 必要 ， 保持 应有 的 人格 力量 将 赢得 更 多 机会 和 尊重
压抑 自己 没 必要 ， 奉承 巴结 也 没 必要 。 保持 应有 的 人格 力量 将 赢得 更 多 机会 和 尊重 。
压抑 没 必要 ， 奉承 巴结 也 是 没 必要 ， 保持 你 应有 的 人格 力量 那么 将 赢得 更 多 尊重 。
压抑 自己 没 必要 ， 奉承 巴结 也 没 必要 ， 保持 应有 的 人格 力量 将 赢得 更 多 的 机会 和 尊重 。
压抑 自己 没 必要 ， 奉承 巴结 也 没 必要 ， 保持 应有 的 人格 ， 将会 赢得 更 多 的 机会 和 尊重 。","it is not necessary to suppress yourself, nor is it necessary to flatter yourself. maintaining the strength of the personality will win more opportunities and respect.
there is no need to suppress yourself, nor is it necessary to flatter yourself. maintaining the strength of personality will win more opportunities and respect.
repression is not necessary, and flattery is not necessary. maintaining the strength of your personality will win more respect.
it is not necessary to suppress yourself, nor is it necessary to flatter yourself. maintaining the strength of the personality will win more opportunities and respect.
it is not necessary to suppress yourself, nor is it necessary to flatter yourself. maintaining the personality you deserve will win more opportunities and respect.","不要, 重要, 特别, 必要, 不好, 相信, 机会, 保持, 得到, 力量, 顺其自然, 做事, 利用, 依赖, 应有","don't, important, especially, necessary, not good, believe, opportunity, maintain, get, power, go with the flow, work, use, rely, due"
3,"压抑 得 想 哭
再 怎么 哭 也 哭 不出 心里 的 压抑 。
多余 的 欲望 是 累赘 {SP} 多余 的 欲望 是 累赘
有 空间 才 有 自由 ， 压抑 何谈 自由
压力 释放 不 出来 想 哭 不敢 哭 继续 假装 坚强","depressed to cry
no matter how much i cry, i can't cry out of the depression in my heart.
excess desire is a burden {sp} excess desire is a burden
freedom is only when there is space
i can’t release the pressure, i want to cry, don’t dare to cry, continue to pretend to be strong","自由, 欲望, 内心, 满足, 痛苦, 真正, 精神, 自我, 追求, 渴望, 放弃, 束缚, 物质, 想要, 真实","freedom, desire, heart, satisfy, pain, real, spirit, self, pursue, desire, give up, bondage, substance, want to, real"
4,"两罐 红牛 都 解决不了 疲惫
问题 解决 的 方法 源于 压力 的 大小 。
压力 大 ， 是不是 遇到 自己 不能 解决 的 问题 -- 自己 的 问题 解决不了 -- 交给 别人 好 了 - 这样 就 轻松 了
解决 一道 难题 ， 如释重负 ， 心情 太好 啦
心情沉重 {SP} 问题 严重","two cans of red bull can't solve fatigue
the solution to the problem stems from the magnitude of the pressure.
is it stressful, do you encounter a problem that you can’t solve - your own problem can't be solved - leave it to others-it's easy
solve a problem, feel relieved, and feel so good
heavy mood {sp} serious problem","问题, 解决, 存在, 遇到, 方面, 考虑, 解决问题, 所谓, 处理, 困难, 关键, 困扰, 不足, 办法, 负责","problem, solve, exist, encounter, aspect, consider, solve the problem, so-called, deal with, difficult, the essential, trouble, insufficient, method, be responsible for"
5,"膀胱 压力 真强 ！
心理压力 过大
压力 大 就 变差
饮食习惯 不良 ， 使 青春痘 恶化 ， 生活 不 规律 。 压力 过大 ； 【 荷尔蒙 】 青春痘 通常 从 体内 开始 分泌 荷尔蒙 的 青春期 开始 ； 生活 作息 不 正常 。 熬夜 睡眠不足 。  4 岁 是 分泌 男性 荷尔蒙 的 高潮 ！ 二 。
对 着 电脑 长痘痘 ， 心情 不好 长痘痘 ， 晚睡 长痘痘 ， 天热 长痘痘 ， 有 压力 长痘痘 不管 怎么样 都 长痘痘 ！ ！ ！ 没完 了 ！ ！ ！","the bladder pressure is really strong!
too much psychological pressure
get worse under pressure
poor eating habits can worsen acne and lead to irregular life. excessive stress; 【hormones】 acne usually starts from puberty when hormones are secreted in the body; abnormal life and rest. staying up late and not getting enough sleep. 4 years old is the orgasm of secretion of male hormones! two.
acne on the computer, acne in a bad mood, acne at night, acne in hot weather, acne under pressure, acne no matter what! ! ! it's not over! ! !","导致, 原因, 造成, 过大, 孕妇, 熬夜, 长期, 引起, 痘痘, 疾病, 子宫, 因素, 下降, 规律, 过度","resulting in, the reason, cause, is too big, pregnant woman, stay up late, long, cause, acne, disease, uterus, factor, decline, law, over"
6,"人越 长大 ， 就 越 习惯 压抑 内心 的 真实 感受 ， 不再 放声大哭 放声 大笑 ， 什么 都 只是 淡淡的 点到为止 。
人越 长大 ， 就 越 习惯 压抑 内心 的 真实 感受 ， 不再 放声大哭 放声 大笑 ， 什么 都 只是 淡淡的 点到为止 ！
人越 长大 ， 就 越 习惯 压抑 内心 的 真实 感受 ， 不再 放声大哭 放声 大笑
不再 放声大哭 放声 大笑 。 什么 都 只是 淡淡的 点到为止 ！ 就 越 习惯于 压抑 内心 的 真实 感受 ！ 我 一直 很 纳闷 ； 人越 长大 。
全世界 好像 只有 我 疲惫","the more people grow up, the more they are used to suppressing the true feelings in their hearts, they stop crying and laughing, and everything is just a faint stop.
the more people grow up, the more they are used to suppressing the true feelings in their hearts, and no longer crying and laughing, everything is just a faint stop!
the older people grow up, the more they are used to suppressing the true feelings in their hearts and stop crying and laughing.
stop crying and laughing. everything is just a faint point! the more you get used to suppressing the true feelings in your heart! i have always wondered; the more people grow up.
i seem to be the only one tired in the world","习惯, 觉得, 是不是, ta, 总是, 不够, 越来越, 说明, 不再, 常常, 感受, 真实, 变成, 煎熬, 缩短","habit, feel, is not it, ta, always, not enough, more and more, description, no longer, often, feel, real, become, torment, shorten"
7,"逆境 催人奋进 ， 顺境 使人 懒惰 。 逆境 就象 弹簧 ， 压力 越大 ， 反弹 越强 ； 逆境 出 真知 ； 逆境 造就人才 ； 逆境 是 黎明前 的 黑暗 ， 坚持 就是 曙光 ； {SP} 逆境 是 一潭死水 ， 疏通 就 成 活水 ； 逆境 中 的 振作 ， 成就 事业 ； 逆境 就是 磨难 ， 就是 痛苦 ； 成功 才能 快乐 幸福 ； 逆境 坚强 ， 顺境 淡定 ； 逆境 显现 英雄本色 ， 顺境 埋没人才 
逆境 时 担心 你 离开 ， 顺境 时 嫌 你 是 累赘
抗压 能力 不行 ， 一有 压力 就 失眠
压力 带来 动力 ， 愿景 决定 成就
失败 是 成功 他妈 ， 只有 失败 了 才 有 压力 ， 有 压力 才 有 动力 ， 有 动力 就 会 成功 ！","adversity drives people forward, while good times makes people lazy. adversity is like a spring, the greater the pressure, the stronger the rebound; the adversity produces knowledge; the adversity creates talents; the adversity is the darkness before dawn, and persistence is the dawn; {sp} adversity is a pool of stagnant water, dredging becomes living water; perk and achievement in adversity career; adversity is tribulation, is suffering; success can be happy and happy; adversity is strong, good times are calm; adversity shows heroic qualities, good times bury talents
worry about leaving in times of adversity, and think you are a burden in times of prosperity
the ability to withstand stress is not good, insomnia when stressed
pressure brings motivation, vision determines achievement
failure is damn success, only failure is pressure, pressure is motivation, and motivation is success!","成功, 改变, 能力, 心态, 努力, 失败, 决定, 面对, 积极, 学会, 困难, 自信, 挑战, 动力, 乐观","success, change, ability, mentality, work hard, failure, decide, face, positive, learn, difficult, confidence, challenge, motivation, optimism"
8,"疲惫 的 新 梦想
午后 市场 继续 冲高 ， 权重 金融股 领涨 ， 沪市 加速 上行 ， 创业板 继续 在 1625 点 压力 前 徘徊 盘整 水泥 股 开始 异军突起 ， 基建 题材 整体 开始 活跃 了 ， 能源 股 也 盘中 有所 活跃
昨日 食品 加工 板块 就 很多 异动 ， 今日 继续 ， 来 伊份 、 煌 上煌 、 盐津 铺子 、 宏辉 果蔬 等 今日 涨停 ， 超跌 次 新 + ， 对于 次 新 板块 刚 做 了 分析 ， 板块 即将 遇见 年线 压力 ， 指标 也 易于 出现 高位 背离 ， 所以 短期 不 追 ， 跟随 热点 超跌 次 新 + 更 安全 。
黄金 、 有色 板块 早盘 走强 ， 券商 、 次新股 也 顺势 拉升 ， 大家 耐心 持股 等待 上方 压力 的 突破
昨日 食品 加工 板块 就 很多 异动 ， 今日 继续 ， 来 伊份 、 煌 上煌 、 盐津 铺子 、 宏辉 果蔬 等 今日 涨停 ， 超跌 次 新 + ， 对于 次 新 板块 女神 刚 做 了 分析 ， 板块 即将 遇见 年线 压力 ， 指标 也 易于 出现 高位 背离 ， 所以 短期 不 追 ， 跟随 热点 超跌 次 新 + 更 安全 。","tired new dream
the market continued to rise in the afternoon, with weighted financial stocks leading the gains. the shanghai stock market accelerated its upward trend. the chinext market continued to hover before the pressure of 1625 points.
there were a lot of changes in the food processing sector yesterday. continue today. laiyifen, huangshanghuang, yanjinpu, honghui fruits and vegetables, etc. rose by the daily limit today, oversold the next new +, just made an analysis of the next new sector, the sector is about to meet the annual line under pressure, indicators are also prone to high divergence, so it is safer not to chase in the short term, and to follow the hot spot oversold and new times + is safer.
the gold and non-ferrous sectors strengthened in the early trading, and the brokerages and sub-new stocks also picked up. everyone is patiently holding stocks and waiting for the breakthrough of the pressure above.
yesterday, there were many changes in the food processing sector. today continues, laiyifen, huangshanghuang, yanjinpu, honghui fruits and vegetables, etc. today’s daily limit, oversold the next new +, just made an analysis of the next new sector goddess, the sector is about to meet the next year under line pressure, indicators are also prone to high divergence, so it is safer not to chase in the short term and follow the hot spot to oversold.","板块, 个股, 反弹, 指数, 涨停, 调整, 股, 创业板, 热点, 资金, 强势, 盘面, 次新股, 近期, 早盘","plate, individual stocks, rebound, index, daily limit, adjustment, share, gem, hot spot, funds, strong, disk, new shares, recent, morning"
9,"压力 大是 真
过劳肥 ， 工作 压力 大 ， 经常 加班 至 深夜 ， 引起 过劳肥 。 不管 你 是不是 ， 反正 我 是 了 。
工作 压力 大
工作 的 压力
【 职场 攻略 ： 九招 快速 克服 职场 压力 】","stress is real
overworked, heavy work pressure, often working overtime until late at night, causing overworked. whether you are or not, i am anyway.
stress from work
work pressure
【workplace strategy: nine tips to quickly overcome workplace pressure】","工作, 每天, 职场, 加班, 学习, 白领, 同事, 上班族, 办公室, 上班, 职业, 猝死, 家人, 一份, 繁忙","jobs, every day, workplace, overtime, learn, white collar, colleague, office worker, office, to work, occupation, sudden death, family, a serving, busy"
